,title,heading,content,tokens
0,0,Who is Dream?," There's three reasons why Dream is so successful, and the first is that he's a purple cow. But we're gonna get into that later. If you don't know who Dream is, over the past three years, he became one of the most famous people on the internet. How do Dream? Dream is here! Oh my god, it's Dream! But no one knew what he looked like, not even his closest friends. I have never seen his face before. No joke. So when Dream actually took off his mask and revealed his face, that took over the internet, and over 38 million people have actually watched that video of him taking off his mask. We're gonna be breaking down the three tactics that Dream used to explode on YouTube. And whether or not you're a Minecraft streamer or you're even familiar with him, these tactics can be super helpful for you as a creative. Also, according to YouTube statistics, only a small percentage of people that watch our videos are actually subscribed. So if you end up enjoying this video, consider subscribing. It's free, and you can always unsubscribe. Alright, so this is a text that I got last week from my sister-in-law, Lauren. She said, I don't understand Dream. This week, you'll have to explain it to me, I'm so old. That's probably a sentiment a lot of people had when Dream completely took over the internet with his face reveal. So who is Dream? So Dream, if you're unfamiliar with him, he's a Minecraft streamer, he streams himself playing Minecraft on his YouTube channel, and he quickly stuck out from the rest of the streamers who were playing Minecraft. Because it is a very large community. Now, yeah, Minecraft is one of the most popular games, and if not the most popular game in the world, and Minecraft videos are an incredibly popular genre of YouTube video. So it's almost a question of, well, if you're going to make Minecraft videos, what's the difference? And Dream actually did something really different. Yeah, so he is a developer and a coder, and he was able to create situations in worlds within Minecraft that no one had ever seen before. So Minecraft, but gravity flips upside down every minute. And that's actually the first tactic that we recognize that Dream used to build this massive audience. And that tactic is to be a purple cow.",492
1,0,Why Dream is a Purple Cow," Excuse me? That might sound strange. Should we have Seth explain it to them? Yeah. So Seth Goedin, who's a marketer and a writer, has this concept of the purple cow and is a marketing concept, but it really applies to what Dream did to grow on YouTube. Consumers don't care about you at all. They just don't care. Part of the reason is they got way more choices than they used to and way less time. And in a world where we have too many choices and too little time, the obvious thing to do is just ignore stuff. And my parable here is you're driving down the road and you see a cow and you keep driving. Because you've seen cows before. Cows are invisible. Cows are boring. Who's going to stop and pull over and say, oh, look, a cow. Nobody. The cow was purple. You notice it. The thing that's going to decide what gets talked about, what gets done, what gets changed, what gets purchased, what gets built, is it remarkable? And remarkable is a really cool word. Because we think it just means neat. But it also means worth making a remark about. And I think no matter what type of crater you are right now, most likely you're facing a lot of competition. And it's really hard to stand out, but that's actually what you should prioritize. How can you be not necessarily better but different? I mean, you can see by the quality of this TED Talk that this concept from Seth Godin is old. It's timeless. The concept of being remarkable, the concept of standing out, the concept that consumers don't have a lot of time, that is a concept that existed pre-youtube. And what Dream really did was say, okay, if there's this many Minecraft videos, you know, Minecraft, but gravity is flipped every minute, all of a sudden that's the purple cow. This video, we coded it, so that at random times, the gravity flips upside down. Our goal is to beat the game. These are things that other Minecraft streamers couldn't necessarily do because they weren't coders. Not only are you gonna click on that and watch it, but he's actually giving you the sentence that you can go say to another friend. So, hey, did you see that video where lava is falling from the sky? So, I think you have to, as a creator, think about the remark that someone is going to make about your video because at the end of the day, the way ideas spread, the way that video spread, is actually through word of mouth. When we interviewed Mr. Beast, what was remarkable about it was that it was the only interview with Mr. Beast for the most part. Now, he went on a podcast tour, there's a lot. So, you have to try and find that area where you can stand out. You look at Andrew Schultz, their episode. It was four hours long. That's remarkable. Have you seen the episode with Mr. Beast that's four hours long? It's true. So, there's always ways to sort of iterate and maintain that purple cow essence. So, be a purple cow. Yeah. By the way, Colin, we got this package from Dream. Mm-hmm. We bought the package. I don't want to make it sound like he sent it to us. We purchased it. Just a wake-cooler when he was. Yeah. Okay, I'll go back to that. We got this package from Dream. And we don't know what's inside of this, but we are going to open it at the end of this episode. Thanks, Dream. So, the other thing that makes him remarkable is the fact that he's faceless. I mean, that's obvious, right? Your favorite streamers, your favorite gamers, you had some sense of what they looked like, you could develop relationships with them, could develop emotions and attach them to this face. But Dream being faceless was another one of those things where it's like, he's a Minecraft creator and he doesn't have a face. Or he's got a blob as a face, smiley blob. I think what's really interesting about Dream is that it was accidental. It was not deliberately written into his plan that he would be faceless. He really says it's a product of the pandemic. That's just when he started to take off was 2020. And everyone already was wearing masks. And if you're a Minecraft streamer, you don't have to show your face. And it just started to become a thing. He didn't choose his face as his avatar. He chose this logo. And then started to realize, oh wait, this is adding a layer of intrigue for my audience.",992
2,0,Why Dream is a Mystery Box," And the fact that Dream was faceless for so long is tactic number two, which is have a mystery box. That probably makes no sense right now, but we are gonna play this clip from director JJ Abrams that we'll explain it. Tannen's mystery magic box. I bought this decades ago and I'm not kidding. If you look at this, you'll see it's never been opened. Now I was looking at this was in my office and as it always is on the shelf and I was thinking, why have I not opened this? And I realized that I haven't opened it because it represents something important. Infinite possibility. It represents hope. It represents potential. The withholding and information, doing that intentionally, is much more engaging. Whether it's like the shark and jaws. If Spielberg's mechanical shark bruise had worked, it would not have been remotely as scary. He would have seen it too much. In Alien, they never really show the Alien terrifying. Even in a movie like The Graduate. They're having that date, remember, they're in the car and it's loud and so they put the top up. You don't hear anything they're saying. You can't hear a word, but it's the most romantic date ever and you love it because you don't hear it. I love the premise that the shark and jaws is scarier because you never see the shark. And when you say it's scarier, it's actually that the audience has interpreted it to be scarier. It implies a level of work that the audience has to do to enjoy the story. And that's kind of what Dream did. There was all this mystique and conversation around who is he? Not knowing what Dream looked like created this mystery box for the entire audience that they got to fill in themselves and they got to interpret who Dream was and almost even place their own experience into this person. And that's all of a sudden developing a deeper relationship because your mind is connecting the dots. Another really great example in the office. Yes. And Ham takes off her mic to go hug Michael on Michael's last episode. I mean, the fact that you can't hear their last conversation makes it that much better. It becomes as powerful as you want that moment to be. Not as powerful as maybe the writers were going to write it. I also think that as the face reveal started to get closer and closer, he facetimed creators. And he had them film their own reactions where they're looking at their phone and then he calls them, they're reaction to seeing his face for the first time. So all of a sudden, you have this unclosed loop, right? Which is what does this guy look like? You don't know. And your curiosity is killing you for two years plus. And then as the moment's getting closer and closer, he's closing that loop, but not all the way to build the anticipation. And the mystery box is slowly opening, right? So you're peaking in a little bit to other people's reactions to seeing what's in the mystery box. That's such good marketing. Yeah, and I think as a creator, what you should be thinking about is how can you use omission as a storytelling tool? Right. How can you sometimes not give the audience everything? Like this. We don't know what's in this bag, right? But it came directly from Dream himself. That's right. And if someone was here right now, they opened it, looked at it, and had a reaction, that actually makes it even more interesting.",731
3,0,Why Dream took off his mask," So now I think it's interesting to think about the fact that by omitting his face, that was what brought him a lot of success. Now he decides to reveal his true identity. Was that the right move, right? You know, there's a couple of reasons that he states why he did this. Number one, he mentioned he felt like there wasn't much else he could do in Minecraft. Like he had already kind of done everything that he could do. Let alone the Dream SMP, which we have not even touched on. Right. It wasn't that he was just making unique situations. He also had a server that became a world for live storytelling, again, something that was unique to Minecraft at the time. Listen. And then created all of these characters that became incredibly famous. I'm just saying, I do SMP is this entire other thing. I agree that I can't believe we haven't even mentioned this far in the episode. I'm just going to ask that someone in the comments explains the Dream SMP to everyone else, because it will take us too long to try and explain it. We'll pin the best explanation of the Dream SMP. Ben, you know, there's someone watching going, the Dream SMP, yeah, the whole time. The SMP. Yeah, screaming. Yeah, screaming. Yeah, yeah, yeah. So the other thing that he mentions about why he revealed his face is actually one of the most human things you could want, which is just that,",310
4,0,A new way to make money as a creator," so this episode is sponsored by Jelly Smack. Now, if you don't know by now, Jelly Smack is the global creator company that helps creators find new audiences and new revenue. So if you're a creator like us, that makes YouTube videos. Jelly Smack will actually partner with you to take your YouTube videos, use their advanced AI, and their full team of expert editors to actually cut those videos into different formats for different platforms. And some of these platforms you might not even know you can make money on. Like Snapchat. As one of the biggest publishers on Snap, Jelly Smack is unlocking a completely new monetizable platform for creators. They manage over a hundred Snapchat discover shows and have launch shows for creators like Hope Scope, Christina Randall, and they helped Phil DeFranco bring his news show to Snapchat. That show has over 500,000 subs on Snap and over a billion views. And it's actually generating revenue for Phil. Content that he's already made is making him money on another platform. Now, the way Jelly Smack works is it's a true partnership. It's a revenue share. So they only make money when you make money. That's why working with Jelly Smack is really beneficial and why some of the biggest creators in the world trust Jelly Smack to take their content across platforms. So if you're interested, head over to Jelly Smack.com, click Get in Touch and tell them that Colin and Samir sent you. All right, back to the episode.",307
5,0,The real reason Dream took off his mask," So the other thing that he mentions about why he revealed his face is actually one of the most human things you could want, which is just that he wanted to hang out with his friends. Just get out in the world, be an actual creator, be a person, say hi to my friends finally. And that really is tactic number three, build a bridge. And what that means is like your digital world should be a bridge to your physical world. Dream talks about the concept that he's going to do IRL videos and this concept of IRL, meaning In Real Life, is actually explored in this TED Talk by Jordan Frith. There's probably no phrase that annoys me more than In Real Life. For one thing, as someone who got in many disagreements with my ex girlfriend over Facebook Messenger, I'm going to show you that was very real. It wasn't less real because it happened online. It had real consequences in the physical world. Anyone who's been cyber bullied, the fact that it happens on Facebook doesn't make it any better, it's still real life. It affects a physical body. His concept here is that the term IRL in Real Life suggests that there's two separate worlds, the digital world and the real life world. But actually that's not true. We actually exist in a hybrid space, as he calls it. So with Dream, primarily existing in cyberspace or in the digital world. Cyberspace. Yes, cyberspace, that's a 90s term, existing in cyberspace or the digital world, it's actually impossible. There's no world where he can just exist there because these worlds coexist. It was affecting his physical life by not revealing his face. Yeah. I read in articles somewhere that he was traveling from Florida to Georgia to go to the dentist so that no one would recognize him. That's because people knew he was from Orlando. But how would people recognize him? I don't understand that. By his voice. Uh, should have altered his voice. Come on, dream. But that's pretty aggressive. I think also read that he would go to Georgia to go to dinner with his mom sometimes. Like if you feel that restricted, like you can't go out to a restaurant in your own hometown, that's clearly this point where your online life is affecting your physical life. They are actually one in the same. They have implications. So I think that, you know, the lesson for creators here is that, no matter what, whatever you're building digitally from a community perspective, from a brand perspective, you should be thinking about how that interacts with the physical world because they're not two separate things. What did Dream lose by revealing his face? And what did he gain?",562
6,0,Pros and Cons of unmasking," Let's talk about that. I think there's something really interesting that he lost, which is like we said with omitting his face, people got to fill in the gaps with who he was. He could be the ultimate superhero across race, socioeconomic levels, like he could be whatever you wanted him to be. And it's at no fault to him or anything. But once he revealed who he is, you lose some of the mystique and he no longer gets to be the superhero necessarily. He's clay a 23 year old from Orlando. Hi, my name is Clay, otherwise known as Dream Online. I think the interesting thing is like, he's going to create a new channel where he's going to do IRL experiences as clay. So kind of what has happened is there's two personas that are developing now. There is Dream and there's Clay. What he gained from, you know, a business perspective is also he can scale the premise and the concept and the brand of dream while building the brand of clay at the same time. Also think he's a creator of worlds more than he is a creator of videos. He's like Simon Cowell. Okay. No one's ever made that comparison. Simon Cowell is responsible for putting one direction together and then that became a world, right? And then some of them went off on their own. Dream essentially is responsible for the Dream SMP and you look at him on that panel at TwitchCon. He's all the way at the end and everyone on that panel is like a member of one direction. That's right. And at some point, Carole might be Harry Styles. I think Carl is Harry Styles. I think he kind of is Harry Styles. He grabs the mic for the first time everyone goes nuts. Yeah. Yeah. Yeah. Yeah. And I say all of this just to say that I think that actually may be what allows him to have longevity. The fact that his history is being a world builder, not just someone who follows trends and make videos. Like he builds environments for communities and creators to exist in all at once. Yeah, I think that's what Dream will continue to be. It's up for debate. Like who is Clay? Who is Clay going to become? Who knows? Now you guys have seen my face. Questions over. What does Dream look like? This is me unless I'm an actor. Might be an actor. Let's just open the package.",502
7,0,Unboxing Dream's Mystery Package," Let's open the package. What is in this package? Here we go. How do you, do I need something sharp? I would love some scissors. And now what is this a bracelet? God, the branding is so strong. Yeah, the green. It's so strong that it's like this brand. Marilyn, we got it open. You have a dart in your hand? When you have a dart coming. What if Marilyn just threw the dart in. She assassinated you in old school. Yeah. That would be a perfect out. So this is a bracelet from Dream. Marilyn, you bought this. How much does this cost and just explain this product to me? What is this? This is a Dream's USB bracelet. To buy the USB bracelet, we had to join the Dream Smile Club, which is an annual membership. We got the silver tier for $15.99 to get access to this member-only drop. And the bracelet itself costs $24.99. Would you say that was worth it? I think if you really care about him, it's worth it. Yeah. It is expensive. It's expensive. Oh, you know what this is? It's a snap bracelet. That's fun. That's so good. That brings me back. Oh, that's nice. Isn't that nice? Yeah, that's nice. So it's a bracelet, but it's also... What? Did I just break it? No. No. Okay. USB thumb drive. Yes. It has data on it. All right, cool. All right, let's see what's on this. There's a lot on this. Is it? Oh, my God. Baby photos? Childhood emails? Minecraft screenshots? Photos? 500 subscribers? That's cool. That's really cool. We've got time capsule. That was a photo of a dead rat. Mm-hmm. Yeah. Whoa, dude. So essentially, this is all just exclusive content. This would be like kind of similar to a Patreon, except his comes with a physical product. Right. Right. Like some people pay for a Patreon. Monthly, and you get exclusive photos behind the scenes, videos. That's essentially what this is, but he's just done in a different way that again is remarkable. Yeah. Wow. This is so interesting, because he's following the three rules that we just talked about. And then this product is remarkable. You have to talk about it. You know, it's exclusive content, but he did it through a physical piece that you order, that you get in the mail, that you have to plug into your computer, and that experience, right? So that's remarkable already. Also, he uses omission as a storytelling tool. It's a mystery box, because even as you plug this in, you don't know what's going to be on it. And then you have to explore yourself. It doesn't say start here or just watch this video. You're really navigating it on your own. And then he's recognizing that the digital world is a bridge to the physical world. Because again, this is a physical product. It's something that I now get to have in my room as a physical representation, or around my wrist as a physical representation of me being a part of this community. And I get to experience and have a physical experience while looking at these, right? This guy, DreamMan, he might become like the biggest marketer on the internet. He's very smart. He's damn good. Wow. Okay. Right here at the end of this video, you know more about Dream than when you started this video and you have a better understanding how he actually rose to his fame. And I can't wait to read your explanations of the DreamSMP. All right. Yeah.",784
8,1,The YouTube “Break” Button," I said this to Colin. I was like, we have ads booked to the end of the year. Does that suggest that no matter what will be inspired to make? It does. But what if two weeks from now, we're like, I actually don't want to make something. But we have a sponsor. Yeah. Right. So what do we do then? Right. Right. And so I think that's for us, this happened in a pretty short window of going from net income being negative, you know, 18,000 to having a team and having an office. And I think we're actually now just coming back down from that and being like, it's outside of just the social media met. There's also the business side of it where it's like, oh, holy shit, I'm making money from this for the first time. Yep. Like real money for the first time. And that I think, especially for me growing up how I did where the dinner table conversation is exclusively about money, basically, you know, like you live in this scarcity mindset where for the first time when there's money, you're like, I got to do anything and everything to keep collecting this. And I think that's something that I'm reflecting on now and recognizing like, that's when it feels uncomfortable to tie your artistry to that feeling of scarcity. Yep. Because now you're making decisions in a completely different, with a completely different lens. Yeah. And by the way, I'm not immune to that either. Like, I'll get a call, go do this game show. We'll give you a bag, go do this. You'll get a bag, go perform in this country. You'll get a bag. And all the OGs, the, the Jedi that I call, the first thing that lasts me is like, but why are you doing the gig? Do you need the money? If they go, if you need the money, then go do it. Go do what you got to do. There's no judgment there. You can go do the pizza commercial or the Samsung Galaxy 5, you know, Verizon 5G commercial. It's the Samsung Galaxy Z Fold 3 5 for Ryzen 5G. I don't know if you know this, but it's the fastest 5G that's out there right there in the country. You can stream game on the go. Now, you may, that's right. You may, that's exactly not need that bag. Yeah. Or you may need it and it may finance the, the special. Yeah. And that bag actually did help pay for that set. You know, and so everybody's doing that math. The thing that I'm always wary of, I just don't want to go down. I call it the YouTube med school route. For 10 years later or 12 years later, you look back and you're like, I don't even know why did I just do this. Yeah. So I hope and pray for myself and for everybody that, you know, you, you find that true path of what you want to really do. And you use the algorithm. You don't let it use you. So to speak. I think that's very good. But a lot of your special and a lot of stuff I've listened to you talk about. You talk about control. I was curious actually one of the, the most interesting things I wrote down when watching King's Jester was in the beginning of the show, as you're talking about your daughter, you, you build this narrative of like she can decide it or she won't have to go to Kumaan, right? And Kumaan is kind of the representation of a lack of control. And then you start to explore the first time you felt control was through constant, stand up. Yeah. I'm just curious about your relationship with control",795
9,1,Control \u0026 The Pressure of Pace," and how that's evolved. Stand up was something that gave me a sense of agency. And when you figure out a joke, it's like figuring out a puzzle. You know, you, you put these two things into the equation and then out pops a reaction, which is laugh, laughter, which is an involuntary reaction. You can't force somebody to laugh. And so when you get that laughter, I get the validation of knowing, oh, you, you see the world the same way I, the same way I do. There's this feeling of feeling seen through that. You also can take that thing and be out of control. And so it's kind of crazy. The first jokes that I told really did save my life. And when I was taking it too far, I lost control. Now it became way too out of control. And so one of the things that I've gotten as I've gotten older is I realize, especially now that I have a wife and kids, that circle of influence and control on the steering wheel. I have less of. It's wild. This is the first time in my life all my friends, they have parents that are getting sick, parents that are passing away. For the first time, I'm seeing friends getting divorces. So the early trajectory of my life was people gaining things, gaining new experiences, holding hands for the first time, kissing for the first time, falling in love for the first time, making dorm room friends for the first time, first girlfriend, first, whatever. And now I'm entering this new chapter where I'm like, oh, I'm starting to lose things. Friends are losing their hair, their waistline, spouses, loved ones. And I've just become humbled by it. I've also taken chin checks. I've had wins. I've had losses. I've had shows. I've gotten cancelled all that sort of stuff. And it just kind of humbles you and goes, all right, it's not up to me. I'm curious. How does the pace of your creation now play into that control? Because I think it's like five years since homecoming. Yeah. Right? And then to me, I would look at that gap. It's too big, maybe. Also without Patriot Act being on, right? Yeah. Putting a lot of pressure on King's Jester. Right. And for us, we get to put out a video every week. We give up some control, right? Because of that pace. Yeah. We also gain control, like make adjustments. And keep moving. But for you, what's the give and take? What you gain? I think it's part of the scale and the size of the idea. So if you want to do a movie and your budget is anywhere between five to 30 million dollars, just to get capital, get in pre-production, edit, shoot, mix, master, something. It's going to take you a year and a half to two years. Some movies take five years. That's even longer, sometimes 10, just to get everything in order. That's the trade-off. The upside cost is deep emotional resonance. So you can't compare its apples and oranges. It's the you can't compare top gun, Maverick to a podcast episode. They're different things. And it goes back to what we were talking about in the middle of the episode. And when I wrote down here, what do you want to do? And then you have to build a series of decisions around that. So for this feature that we're about to do for the culture with Amazon, that's going to be two years of our life. We got to go cast. We got to go get the music. I got to go fly to India, get a music director. I got to go do this. I got to go get a choreographer. All these things need to be done. It's going to be a two-year journey. And I have to have the confidence in belief in myself. That's the check every morning. I'm getting checked. Maybe I should do this other thing. I believe in this idea so much that I'm going to continue on this path and hope that it translates and resonates. Because it's more honest than me following the social pressure of going to YouTube dental school. I mean, real talk. Real talk. That's the thing. Just everybody else is doing this. But the why I want to do for the culture. Because I've never seen a movie like that before is bigger than the why of I should do a podcast because al",948
